keyword,count
댓글,42
없음,42
dc,10
App,10
나도,5
진짜,3
그거,3
너도,2
레벨,2
그렇게,2
하는,2
그냥,2
아님,2
제일,2
휴대폰,2
엄마한테,2
이미,2
명전,2
신문고,2
토큰,2
