keyword,count
댓글,48
없음,48
dc,10
App,10
코시호,6
뽑았는데,4
아니면,4
스커크,4
매우,4
만족,4
덱풀이,4
2돌로,4
롤보다,2
무서운게임임,2
실드까고,2
잡는거,2
가정하면,2
차라리,2
풀쓰는,2
조합이,2
